task,objective,feature_group,gate_quantile,n_seed_selected
BACE,R0_raw_utility,chemistry,0.9,1
BACE,R0_raw_utility,chemistry_uncertainty,0.7,1
BACE,R0_raw_utility,full_mechanism,,1
BACE,R3_three_class,chemistry,0.9,1
BACE,R5_rank_regression,full_mechanism,0.6,1
BBBP,R1_binary,full_mechanism,0.6,1
BBBP,R1_binary,full_mechanism,0.95,1
BBBP,R2_margin_binary,chemistry,0.5,1
BBBP,R4_pairwise_margin_weighted,chemistry_uncertainty,0.5,1
BBBP,R5_rank_regression,full_mechanism,0.7,1
ESOL,R0_raw_utility,full_mechanism,0.6,1
ESOL,R2_margin_binary,chemistry,0.95,1
ESOL,R4_pairwise_margin_weighted,full_mechanism,0.9,1
ESOL,R5_rank_regression,chemistry_uncertainty,0.9,1
ESOL,R5_rank_regression,full_mechanism,0.95,1
FreeSolv,R0_raw_utility,chemistry_uncertainty,0.8,1
FreeSolv,R0_raw_utility,chemistry_uncertainty,0.9,1
FreeSolv,R1_binary,full_mechanism,0.6,1
FreeSolv,R3_three_class,chemistry,0.95,1
FreeSolv,R4_pairwise_margin_weighted,chemistry,0.9,1
HIV,R1_binary,chemistry,0.7,1
HIV,R1_binary,chemistry_uncertainty,0.5,2
HIV,R1_binary,full_mechanism,0.8,1
HIV,R5_rank_regression,chemistry_uncertainty,0.5,1
Lipophilicity,R1_binary,chemistry_uncertainty,0.95,1
Lipophilicity,R3_three_class,chemistry,0.8,1
Lipophilicity,R3_three_class,full_mechanism,0.6,1
Lipophilicity,R3_three_class,full_mechanism,0.8,1
Lipophilicity,R5_rank_regression,full_mechanism,0.8,1
